Date,Time,PM1,PM2.5,PM10,CO2
2019-01-12,02:53:07,94,177,225,117
2019-01-12,02:53:07,94,177,225,118
2019-01-12,02:53:08,94,177,225,118
2019-01-12,02:53:09,78,126,168,114
2019-01-12,02:53:10,112,185,215,116
2019-01-12,02:53:11,101,185,234,118
2019-01-12,02:53:12,101,189,238,118
2019-01-12,02:53:13,82,158,200,117
2019-01-12,02:53:14,82,158,200,119
2019-01-12,02:53:15,82,158,200,116
2019-01-12,02:53:17,92,168,228,114
2019-01-12,02:53:17,99,169,224,118
2019-01-12,02:53:18,99,169,224,114
2019-01-12,02:53:19,99,169,224,117
2019-01-12,02:53:20,99,169,224,118
2019-01-12,02:53:22,99,169,224,119
2019-01-12,02:53:23,106,179,224,119
2019-01-12,02:53:24,106,179,224,120
2019-01-12,02:53:25,106,179,224,116
2019-01-12,02:53:26,106,175,210,118
2019-01-12,02:53:27,106,175,209,115
2019-01-12,02:53:28,107,175,230,118
2019-01-12,02:53:29,101,175,227,118
2019-01-12,02:53:30,101,175,227,116
2019-01-12,02:53:31,77,140,169,116
2019-01-12,02:53:32,77,140,169,118
2019-01-12,02:53:33,88,143,177,117
2019-01-12,02:53:34,91,146,183,118
2019-01-12,02:53:35,91,149,186,116
2019-01-12,02:53:36,92,152,196,119
2019-01-12,02:53:37,90,153,200,117
