Date,Time,PM1,PM2.5,PM10,CO2,Humidity,Temperature
2019-01-13,02:54:53,137,288,358,127,61.2127,61.19
2019-01-13,02:54:55,134,300,366,127,61.25,21.31
2019-01-13,02:54:56,130,298,367,127,61.0,21.34
2019-01-13,02:54:57,137,297,364,129,61.19,21.28
2019-01-13,02:54:58,132,295,363,126,61.13,21.31
2019-01-13,02:54:59,130,293,360,125,61.13,21.31
2019-01-13,02:55:00,131,291,357,126,61.0,21.31
2019-01-13,02:55:01,130,289,362,134,60.94,21.28
2019-01-13,02:55:02,128,286,360,135,61.06,21.31
2019-01-13,02:55:03,126,264,340,134,60.88,21.31
2019-01-13,02:55:05,130,265,344,135,61.06,21.31
2019-01-13,02:55:06,127,266,344,135,60.88,21.28
2019-01-13,02:55:07,125,266,346,136,61.06,21.31
2019-01-13,02:55:08,129,267,348,136,60.94,21.31
2019-01-13,02:55:09,129,267,348,127,61.0,21.28
2019-01-13,02:55:10,140,286,345,128,61.0,21.25
2019-01-13,02:55:11,131,290,369,128,61.25,21.31
2019-01-13,02:55:12,133,297,381,125,60.94,21.28
2019-01-13,02:55:13,135,287,369,127,60.88,21.31
2019-01-13,02:55:14,133,287,368,126,61.0,21.31
2019-01-13,02:55:15,139,288,365,126,61.06,21.28
2019-01-13,02:55:16,153,309,391,126,61.19,21.28
2019-01-13,02:55:18,128,279,343,135,61.0,21.28
2019-01-13,02:55:19,130,291,352,135,61.0,21.31
2019-01-13,02:55:20,141,289,373,134,61.19,21.28
2019-01-13,02:55:21,136,292,362,139,61.13,21.34
2019-01-13,02:55:22,142,295,366,135,61.0,21.31
2019-01-13,02:55:23,142,303,378,136,60.94,21.28
2019-01-13,02:55:24,132,288,361,137,61.06,21.28
2019-01-13,02:55:25,132,288,361,127,61.13,21.31
2019-01-13,02:55:26,128,285,356,125,61.06,21.28
2019-01-13,02:55:28,128,285,356,126,60.94,21.31
2019-01-13,02:55:29,134,285,356,127,61.06,21.31
2019-01-13,02:55:30,135,286,356,129,61.0,21.28
2019-01-13,02:55:31,133,286,358,126,60.94,21.28
2019-01-13,02:55:32,136,287,360,127,60.94,21.34
2019-01-13,02:55:33,142,288,364,137,60.94,21.28
2019-01-13,02:55:34,138,291,370,137,60.94,21.28
2019-01-13,02:55:35,144,292,371,135,60.88,21.28
2019-01-13,02:55:36,143,293,369,137,60.94,21.31
2019-01-13,02:55:37,142,293,367,139,66.87,22.75
2019-01-13,02:55:39,140,293,366,140,75.62,24.37
2019-01-13,02:55:40,138,292,365,143,79.69,25.06
2019-01-13,02:55:41,137,292,365,128,82.81,25.5
2019-01-13,02:55:42,140,292,365,130,84.44,24.75
2019-01-13,02:55:43,140,292,365,131,83.06,24.34
2019-01-13,02:55:44,136,292,366,129,81.44,24.16
2019-01-13,02:55:45,135,292,361,130,80.0,23.97
2019-01-13,02:55:46,140,292,360,136,80.94,23.87
2019-01-13,02:55:48,140,292,356,145,80.37,23.78
2019-01-13,02:55:49,140,293,356,151,79.69,23.72
2019-01-13,02:55:50,135,294,360,163,78.56,23.62
2019-01-13,02:55:51,135,294,360,166,77.37,23.59
2019-01-13,02:55:52,135,294,360,167,76.25,23.53
2019-01-13,02:55:53,129,290,360,171,75.06,23.5
2019-01-13,02:55:54,130,290,360,168,74.25,23.47
2019-01-13,02:55:55,128,289,361,164,73.31,23.37
2019-01-13,02:55:56,127,288,367,155,72.0,23.31
2019-01-13,02:55:57,133,288,366,144,71.19,23.31
2019-01-13,02:55:58,133,288,369,137,70.37,23.22
2019-01-13,02:56:00,130,289,375,139,69.56,23.22
2019-01-13,02:56:01,131,290,374,138,68.62,23.19
2019-01-13,02:56:02,135,292,370,137,67.87,23.16
2019-01-13,02:56:03,131,292,367,137,67.19,23.12
2019-01-13,02:56:04,139,294,366,134,66.56,23.09
2019-01-13,02:56:05,139,294,360,142,65.87,23.12
2019-01-13,02:56:06,136,294,359,141,65.25,23.03
2019-01-13,02:56:07,134,293,362,143,64.75,23.03
2019-01-13,02:56:08,133,292,354,140,64.37,23.03
2019-01-13,02:56:09,138,292,361,141,63.88,22.97
2019-01-13,02:56:11,138,292,361,140,63.44,23.0
2019-01-13,02:56:12,136,292,361,139,63.06,22.97
2019-01-13,02:56:13,133,292,357,143,62.63,22.97
2019-01-13,02:56:14,133,292,358,129,62.56,22.97
