Latitude,Longitude,Time,Date,PM1,PM2_5,PM10,N02,CO2,CO,Humidity,Temperature
23.547226,87.29258,17:45:04,29-12-2018,74,151,171,0.09,6,183.72,63.63,18.16
23.547226,87.29258,17:45:04,29-12-2018,74,151,173,0.08,17,158.34,63.69,18.09
23.547068,87.292488,17:45:06,29-12-2018,74,151,173,0.08,23,132.58,63.75,18.06
23.547068,87.292488,17:45:06,29-12-2018,74,151,174,0.08,34,112,63.94,17.97
23.546944,87.292442,17:45:08,29-12-2018,74,151,177,0.08,44,96.14,64.06,17.88
23.546944,87.292442,17:45:08,29-12-2018,74,151,177,0.07,63,84.49,64.06,17.81
23.546928,87.292412,17:45:10,29-12-2018,74,151,179,0.07,73,75.97,64.06,17.81
23.546928,87.292412,17:45:10,29-12-2018,74,151,180,0.07,75,69.22,64.31,17.72
23.546877,87.292358,17:45:12,29-12-2018,74,151,172,0.07,75,64.22,64.38,17.69
23.546877,87.292358,17:45:12,29-12-2018,52,97,119,0.07,73,61.26,64.5,17.63
23.54689,87.292351,17:45:14,29-12-2018,51,97,127,0.07,70,58.42,64.5,17.56
23.54689,87.292351,17:45:14,29-12-2018,51,97,129,0.07,75,55.42,64.63,17.56
23.546913,87.292328,17:45:16,29-12-2018,53,98,131,0.07,70,53.58,64.69,17.53
23.546913,87.292328,17:45:16,29-12-2018,56,100,137,0.07,65,51.79,64.88,17.44
23.546934,87.292313,17:45:18,29-12-2018,61,103,143,0.07,67,50.29,64.75,17.44
23.546934,87.292313,17:45:18,29-12-2018,59,105,142,0.07,67,49.07,65.06,17.41
23.547024,87.29232,17:45:20,29-12-2018,58,107,146,0.07,63,48.11,65.06,17.41
23.547024,87.29232,17:45:20,29-12-2018,59,109,146,0.07,60,47.4,65.13,17.34
23.546989,87.292274,17:45:22,29-12-2018,61,111,142,0.07,63,46.47,65.31,17.31
23.546989,87.292274,17:45:22,29-12-2018,61,113,144,0.07,59,45.78,65.44,17.28
23.546974,87.292236,17:45:24,29-12-2018,61,114,146,0.07,54,45.32,65.5,17.25
23.546974,87.292236,17:45:24,29-12-2018,59,115,143,0.07,55,44.42,65.63,17.19
23.546974,87.292206,17:45:26,29-12-2018,58,115,144,0.07,52,43.97,65.69,17.16
23.546974,87.292206,17:45:26,29-12-2018,59,115,146,0.07,55,43.53,65.81,17.13
